wormbase_gene	wormbase_locus	wormbase_gseq	entrezgene_id	description	uniprot_swissprot_accession	Wormbase_mode_of_regulation	Uniprot_mode_of_regulation
WBGene00013976	hizr-1	ZK455.6	191322	High zinc activated nuclear receptor protein  [Source:UniProtKB/Swiss-Prot;Acc:G5ED47]	G5ED47		
WBGene00003680	nhr-90	ZK488.2	178577	Nuclear hormone receptor family member nhr-90  [Source:UniProtKB/Swiss-Prot;Acc:O17025]	O17025		
WBGene00022762		ZK546.5	173850	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q23521]			
WBGene00022639	nhr-253	ZK6.4	191205	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:O61869]			
WBGene00000446	ceh-23	ZK652.5	176096	Homeobox protein ceh-23  [Source:UniProtKB/Swiss-Prot;Acc:P34663]	P34663		
WBGene00022785	kcmf-1	ZK652.6	176095	Drought induced 19 protein type zinc-binding domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AS04]	P34664		
WBGene00003638	nhr-48	ZK662.3	181661	Nuclear hormone receptor family member nhr-48  [Source:UniProtKB/Swiss-Prot;Acc:Q94407]	Q94407	0	
WBGene00023497	lin-15B	ZK662.4	181662		Q27395		
WBGene00001954	hlh-10	ZK682.4	191402	Helix-loop-helix protein 10  [Source:UniProtKB/Swiss-Prot;Acc:Q23579]	Q23579	-1	
WBGene00022794	snu-23	ZK686.4	176090	Putative zinc finger matrin-type protein snu-23  [Source:UniProtKB/Swiss-Prot;Acc:P34670]	P34670		
WBGene00022805	nhr-256	ZK697.2	191409	NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O44577]			
WBGene00006555	tbx-36	ZK829.5	191435	Putative T-box protein 36  [Source:UniProtKB/Swiss-Prot;Acc:Q23622]	Q23622		
WBGene00044068	syd-9	ZK867.1	180985	Zinc finger protein syd-9  [Source:UniProtKB/Swiss-Prot;Acc:A0A5E4M3Q4]	A0A5E4M3Q4		
WBGene00014131	sdz-38	ZK892.7	191448	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q09620]			
WBGene00000469	ces-2	ZK909.4	173365	Transcription factor ces-2  [Source:UniProtKB/Swiss-Prot;Acc:Q94126]	Q94126	1	
WBGene00022837	ceh-45	ZK993.1	171689	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N4L2]			
